Vendor,CURRENT,1 - 30,31 - 60,61 - 90,91 AND OVER,Total
3 Brothers Baits LLC,,,,,12950,12950
5 Alive Fishing LLC,,,,,1426.1,1426.1
"American Snakehead Customs, LLC",,,,,9225,9225
A.N.E Wholesale,,,,,38451.52,38451.52
Ark Fishing International,,,,,5820,5820
ATS Printing,,2604.15,,,1220.86,3825.01
B8Lab,,,,,17995,17995
B.A.S.S LLC,,,,,2350,2350
Bassmooch,,,,,6050,6050
Bloom Social Zero Mega,,,,,650,650
Bo’s Jigs,,,,,6000,6000
Brothers Printing,,,,,5497.7,5497.7
Bruiser Baits,,,,,1186.25,1186.25
Coastal Sports Distributors LLC,,,,,10405.95,10405.95
David Vance McCullough,,,,,1000,1000
DHL eCommerce,,,,,7108.97,7108.97
Eagle Claw Fishing Tackle,,,,,-74.16,-74.16
Eagle Warehouse & Distribution Center Inc,,,,,3607.17,3607.17
EuroTackle,,,,,890.4,890.4
Fishing Capital Co,,,,,8301,8301
GSM Outdoors,3750,7465.35,,,197790.74,209006.09
"Guangdong Boyue Digital Application Technology Co.,Ltd",,,,,1912,1912
Hendrix Fishing Company,,,,,4120,4120
"Heyuan Boyue Color Printing Co.,Ltd",,,,,3770.8,3770.8
Hoyo Fishing Tackle Co. Ltd.,,,,,8850,8850
Jared Fix,,,,,1132,1132
Jingjiang Ruinuo Metal Tools Manufacture Co.,,,,,1900,1900
"Jinhua Jiafu Trade Co., Ltd.",,,,,19393,19393
Jinhua Jiafu Trade Co LTD,,,,,5875,5875
Leichi China something,,,,,8380.32,8380.32
Livingston Lures,,8406,16155,,14622,39183
"Luck-E-Strike, LLC",,,,,16550,16550
LunkerHunt Premium Fishing Products,,,,3439.2,,3439.2
Major League Fishing,,,,,15653.3,15653.3
Maximus Outdoors,,,,,83459.15,83459.15
Monster Fish Outdoors,,,,,12397.5,12397.5
MonsterWash LLC,,,,,4567.5,4567.5
Northland Tackle,,,,,17170,17170
O Mustad & Sons,,,,,18115.04,18115.04
Packaging Corporation of America,,,,,22206.97,22206.97
Paul Glass,,,,,625,625
Pradco Outdoors Brands,,3520,,,39879.19,43399.19
"Qingdao Mango Outdoors Co., Ltd.",,,,,8757.77,8757.77
Razor Custom Tackle,,,,,3900,3900
Recertop Tech Co Limited,,,,,5470,5470
"Shenzhen Chengxing Packing & Material Co., Ltd.",,,,,6243,6243
"SUZHOU TOPDIVE SPORTS PRODUCTS CO.,LTD",,,,,1900,1900
Tackle HD,,,,,5931,5931
Trophy Technologies,,,,,5549.65,5549.65
TTI Blakemore Group,,,,,7489.28,7489.28
V&M,,,,,10936.63,10936.63
VRX Fishing Products,,,,,25098,25098
Weihai Runten Industrial Limited,,6997.5,,,101745.64,108743.14
"Yangzhou SourcePro Outdoors Co.,LTD.",,,,,9411,9411
"Yazoo Mills, Inc.",,,,,6749.7,6749.7
"Yiwu Tengyuan Painting Materials Co., Ltd.",,,,,376.95,376.95
Yotpo,,,,,6812.92,6812.92
Yo Zuri,,,,,13500,13500
"Z-Man Fishing Products, Inc.",5143.88,,4195.68,,61203.43,70542.99
TOTAL,8893.880000000001,28993,20350.68,3439.2,919506.2400000001,981183.0000000001
" Friday, January 30, 2026 02:59 PM GMT-07:00",,,,,,
