Vendor,CURRENT,1 - 30,31 - 60,61 - 90,91 AND OVER,Total
3 Brothers Baits LLC,,,1750,,5075,6825
6th Sense Fishing,,,7115.62,,,7115.62
ATS Printing,2604.15,,,,,2604.15
Brothers Printing,,2113.7,,,,2113.7
"Dimension Studios, Inc.",7793,7819.26,,,,15612.26
Dove Fishing LLC,1250,,,,,1250
Eagle Warehouse & Distribution Center Inc,9957.04,,,,,9957.04
Fishing Capital Co,,17294.9,,,,17294.9
GrandeBass Maximus Outdoors,,,,5050,,5050
GSM Outdoors,3750,7275.65,,,,11025.65
Livingston Lures,8406,16134,,,,24540
LunkerHunt Premium Fishing Products,,,3439.2,,,3439.2
Maximus Outdoors,,,,,86855.3,86855.3
Michael Meisenheimer,1250,,,,,1250
Monster Fish Outdoors,,,,,12392.5,12392.5
Pradco Outdoors Brands,6228.1,,,,,6228.1
Recertop Tech Co Limited,2360,,,,,2360
Shane Park Media Group LLC,1500,,,,,1500
VRX Fishing Products,,,,,6852.3,6852.3
"Z-Man Fishing Products, Inc.",5124.07,,,,,5124.07
TOTAL,50222.36,50637.51,12304.82,5050,111175.1,229389.79
" Friday, January 30, 2026 09:52 PM GMTZ",,,,,,
