Transaction date,Num,Name,Memo/Description,Amount,Expense_Category
01/01/2024,0684,David Vance McCullough,,-1000.0,David McCullough
01/01/2024,0690,Sarah Bennage Morton,,-140.0,Sarah Bennege Morton
01/01/2024,ACH,Eagle Warehouse & Distribution Center Inc,,-2657.43,Warehouse Service
01/01/2024,ACH,Eagle Warehouse & Distribution Center Inc,,-2436.0,Warehouse Service
01/06/2025,ACH,Jeremy Francis,,-400.0,Accounts Payable (A/P)
01/06/2025,ach,Jeremy Francis,,-1200.0,Accounts Payable (A/P)
01/06/2025,0932,TTI Blakemore Group,,-987.85,Accounts Payable (A/P)
01/07/2024,0696,Yotpo,,-3406.46,Accounts Payable (A/P)
01/07/2025,ACH,Eagle Warehouse & Distribution Center Inc,,-3293.85,Accounts Payable (A/P)
01/07/2025,0934,Michael Meisenheimer,,-1250.0,Accounts Payable (A/P)
01/07/2025,0935,Shane Park Media Group LLC,,-1500.0,Accounts Payable (A/P)
01/07/2025,0936,Edward Lee Arthur Jr,,-100.0,Accounts Payable (A/P)
01/07/2025,0933,Wishiwazfishin,,-833.34,Accounts Payable (A/P)
01/08/2024,0694,Brothers Printing,Voided,0.0,Accounts Payable (A/P)
01/09/2024,ACH,Bloom Social Zero Mega,,-650.0,Accounts Payable (A/P)
01/09/2024,0695,Yo Zuri,,-13500.0,Accounts Payable (A/P)
01/11/2024,0697,Packaging Corporation of America,,-4940.85,Accounts Payable (A/P)
01/12/2024,0704,Wishiwazfishin,,-416.67,Accounts Payable (A/P)
01/12/2024,0700,Hammer Time Production LLC,,-1000.0,Accounts Payable (A/P)
01/12/2024,0703,Paul Glass,,-625.0,Accounts Payable (A/P)
01/12/2024,0698,David Vance McCullough,,-1000.0,Accounts Payable (A/P)
01/12/2024,0699,Edward Lee Arthur Jr,,-1000.0,Accounts Payable (A/P)
01/12/2024,ACH,Eagle Warehouse & Distribution Center Inc,,-4311.17,Accounts Payable (A/P)
01/12/2024,0701,Jared Fix,,-1132.0,Accounts Payable (A/P)
01/12/2024,0702,Michael Meisenheimer,,-1250.0,Accounts Payable (A/P)
01/15/2025,ACH,Weihai Runten Industrial Limited,,-5075.0,Accounts Payable (A/P)
01/15/2025,ACH,GrandeBass Maximus Outdoors,,-5086.4,Accounts Payable (A/P)
01/15/2025,0937,VRX Fishing Products,,-1076.1,Accounts Payable (A/P)
01/16/2025,0939,GS1 US Inc,,-1000.0,Other Costs of Services - COS
01/16/2025,0938,A.N.E Wholesale,,-5171.0,Accounts Payable (A/P)
01/21/2025,WIRE,Weihai Runten Industrial Limited,,-10868.16,Accounts Payable (A/P)
01/23/2024,ACH,Eagle Warehouse & Distribution Center Inc,,-1006.7,Accounts Payable (A/P)
01/23/2024,ACH,Eagle Warehouse & Distribution Center Inc,,-2311.94,Accounts Payable (A/P)
01/23/2024,ACH,Brothers Printing,,-3099.95,Accounts Payable (A/P)
01/25/2024,0706,Devon Christian,,-1000.0,Accounts Payable (A/P)
01/26/2024,ACH,Brothers Printing,,-2997.69,Accounts Payable (A/P)
02/01/2024,0708,"Yazoo Mills, Inc.",,-5298.09,Accounts Payable (A/P)
02/01/2024,0668,Maximus Outdoors,,-10000.0,Maximus Outdoors
02/01/2024,0632,Maximus Outdoors,,-16000.0,Maximus Outdoors
02/02/2024,ACH,Eagle Warehouse & Distribution Center Inc,,-2813.61,Accounts Payable (A/P)
02/02/2024,0709,Post Master,"Return Postage Account: MonsterBass LLC
Eagle Warehouse & Distribution Center Inc
823 East Main St , Henderson, TN 38340",-500.0,Stamps and USPS
02/04/2025,0940,VRX Fishing Products,,-4288.25,Accounts Payable (A/P)
02/05/2024,0710,Yotpo,,-1703.23,Accounts Payable (A/P)
02/05/2025,ACH,Jeremy Francis,,-1200.0,Accounts Payable (A/P)
02/05/2025,ACH,Jeremy Francis,,-400.0,Accounts Payable (A/P)
02/09/2024,ACH,Eagle Warehouse & Distribution Center Inc,,-2054.67,Accounts Payable (A/P)
02/09/2024,ACH,Bloom Social Zero Mega,,-650.0,Accounts Payable (A/P)
02/09/2024,0711,Packaging Corporation of America,,-4237.5,Accounts Payable (A/P)
02/09/2024,0712,David Vance McCullough,,-1000.0,Accounts Payable (A/P)
02/09/2024,0713,Michael Meisenheimer,,-1250.0,Accounts Payable (A/P)
02/09/2024,0714,Hammer Time Production LLC,,-1000.0,Accounts Payable (A/P)
02/09/2024,0715,James V. LoDuca,,-1000.0,Accounts Payable (A/P)
02/09/2024,0716,Wishiwazfishin,,-416.67,Accounts Payable (A/P)
02/11/2025,0943,Shane Park Media Group LLC,,-1500.0,Accounts Payable (A/P)
02/11/2025,0942,Michael Meisenheimer,,-1250.0,Accounts Payable (A/P)
02/11/2025,0941,A.N.E Wholesale,SO-000323,-1150.0,
02/15/2024,0717,"Fisherman's Life, LLC",,-750.0,Accounts Payable (A/P)
02/15/2024,0719,Brothers Printing,,-2937.82,Accounts Payable (A/P)
02/15/2024,0718,Edward Lee Arthur Jr,,-100.0,Accounts Payable (A/P)
02/16/2024,0721,Packaging Corporation of America,,-4855.53,Accounts Payable (A/P)
02/16/2024,0720,Jared Fix,,-649.94,Accounts Payable (A/P)
02/20/2025,0947,Brothers Printing,,-1977.09,Accounts Payable (A/P)
02/20/2025,ach,GrandeBass Maximus Outdoors,,-5256.48,Accounts Payable (A/P)
02/21/2024,ACH,Eagle Warehouse & Distribution Center Inc,,-2900.0,Accounts Payable (A/P)
02/26/2024,0722,Jared Fix,,-600.0,Accounts Payable (A/P)
02/26/2025,0948,Edward Lee Arthur Jr,,-200.0,Accounts Payable (A/P)
02/27/2024,0723,Yotpo,,-1703.23,Accounts Payable (A/P)
03/01/2024,0705,Weihai Runten Industrial Limited,,-16005.32,Accounts Payable (A/P)
03/01/2024,0724,Jared Fix,,-748.0,Accounts Payable (A/P)
03/01/2024,0725,Coastal Sports Distributors LLC,,-3273.45,Accounts Payable (A/P)
03/01/2024,ACH,Eagle Warehouse & Distribution Center Inc,,-2188.2,Accounts Payable (A/P)
03/02/2024,0726,Yotpo,,-6812.92,Accounts Payable (A/P)
03/03/2025,,Jeremy Francis,,-1200.0,Accounts Payable (A/P)
03/03/2025,,Jeremy Francis,,-400.0,Accounts Payable (A/P)
03/04/2024,0729,Jared Fix,,-800.0,Accounts Payable (A/P)
03/04/2024,0728,Hammer Time Production LLC,,-1000.0,Accounts Payable (A/P)
03/04/2024,0727,Michael Meisenheimer,,-1250.0,Accounts Payable (A/P)
03/05/2024,0730,James V. LoDuca,,-1000.0,Accounts Payable (A/P)
03/05/2025,ach,Eagle Warehouse & Distribution Center Inc,,-735.91,Accounts Payable (A/P)
03/05/2025,ACH,Eagle Warehouse & Distribution Center Inc,,-1630.88,Accounts Payable (A/P)
03/05/2025,ACH,Eagle Warehouse & Distribution Center Inc,,-3457.85,Accounts Payable (A/P)
03/05/2025,ACH,Eagle Warehouse & Distribution Center Inc,,-3171.3,Accounts Payable (A/P)
03/07/2024,ACH,Eagle Warehouse & Distribution Center Inc,,-2895.62,Accounts Payable (A/P)
03/10/2025,ach,GrandeBass Maximus Outdoors,,-3355.2,Accounts Payable (A/P)
03/10/2025,0949,VRX Fishing Products,,-1794.35,Accounts Payable (A/P)
03/10/2025,0950,Jared Fix,,-780.0,Accounts Payable (A/P)
03/10/2025,0951,Michael Meisenheimer,,-1250.0,Accounts Payable (A/P)
