Month,Cash_In,Cash_Out,Net_Cash_Flow,Transaction_Count
2024-01,191910.87,-230997.93999999997,-39087.07,159
2024-02,248219.75999999998,-285990.66,-37770.9,139
2024-03,205095.31,-182741.38000000003,22353.93,141
2024-04,205785.05,-209461.82,-3676.769999999996,167
2024-05,167768.91999999998,-180373.34000000003,-12604.420000000002,163
2024-06,191415.76,-174379.38,17036.380000000005,159
2024-07,184899.75,-183962.61000000002,937.1400000000007,179
2024-08,125388.54999999999,-153668.35,-28279.799999999996,149
2024-09,167905.89999999997,-146335.66,21570.239999999998,152
2024-10,144076.84,-165414.72999999998,-21337.890000000003,157
2024-11,136753.77,-141601.61000000004,-4847.840000000002,138
2024-12,161146.69999999998,-118001.01,43145.69,143
2025-01,111304.26999999999,-154608.66999999998,-43304.4,133
2025-02,108126.06000000001,-104007.47,4118.590000000003,115
2025-03,166207.39999999997,-168760.56999999998,-2553.1699999999996,116
2025-04,190021.28000000003,-188873.24,1148.0399999999975,154
2025-05,164393.57000000004,-145778.86,18614.709999999995,164
2025-06,168566.41,-188381.64,-19815.23,172
2025-07,159157.71,-177084.88999999998,-17927.18,188
2025-08,128806.79999999999,-119121.59999999999,9685.199999999995,161
2025-09,352194.88999999996,-260759.87999999995,91435.01,148
2025-10,104641.4,-191293.97,-86652.56999999999,191
2025-11,121631.56,-105087.72,16543.839999999997,156
2025-12,167754.35,-195156.71,-27402.360000000004,202
