Month,Amazon,PayPal,Retail,Shopify,Stripe,Total
2024-01,867.5699999999999,25515.73,2444.5,101097.75,31925.44,161850.99
2024-02,7.73,19580.73,1840.9,107402.26,28277.219999999998,157108.84
2024-03,1204.36,25866.21,7459.0,128363.44,30907.8,193800.81
2024-04,2732.62,28778.39,0.0,130857.15000000001,29186.02,191554.18
2024-05,2318.4900000000002,18751.54,1933.5,111544.84,32369.97,166918.34
2024-06,3805.0200000000004,25084.04,0.0,125927.83,25952.85,180769.74000000002
2024-07,557.1,23680.32,9607.380000000001,119242.76,21401.97,174489.53
2024-08,478.43,14876.9,1107.53,86138.83,22640.62,125242.31
2024-09,1385.18,17388.59,4142.21,103276.02,20640.0,146832.0
2024-10,1255.35,16608.53,0.0,90562.98,23671.67,132098.52999999997
2024-11,1652.8700000000001,15922.060000000001,0.0,96735.19,21628.170000000002,135938.29
2024-12,5407.320000000001,20816.55,0.0,103592.53,22262.62,152079.02
2025-01,827.56,10962.43,0.0,79649.20999999999,19514.72,110953.92
2025-02,164.85,12355.57,0.0,82893.54000000001,12464.49,107878.45000000001
2025-03,0.0,20714.07,0.0,118715.75,20113.9,159543.72
2025-04,1544.73,18382.420000000002,0.0,109065.33,20598.97,149591.45
2025-05,333.40999999999997,18306.98,0.0,108815.63,19881.03,147337.05
2025-06,1839.6799999999998,16894.1,3827.24,125924.01,18692.76,167177.79
2025-07,1000.92,14191.45,2199.0,122100.9,18186.989999999998,157679.25999999998
2025-08,1162.95,10863.39,297.67,100643.06,15262.69,128229.76
2025-09,1055.6999999999998,11197.18,1547.73,82193.20999999999,14640.85,110634.67
2025-10,1967.0900000000001,11859.34,789.51,74234.59,15082.69,103933.22
2025-11,2053.42,10906.94,2257.73,95878.98,12597.44,123694.51
2025-12,11937.130000000001,1891.1399999999999,0.0,111451.04,15208.71,140488.02
