Name,Total_Revenue,Transaction_Count,First_Date,Last_Date
Shopify,2291893.74,728,2024-01-02,2025-12-31
Stripe,454320.59,427,2024-01-02,2025-12-31
"Creating Outdoors Consulting, LLC",107400.0,25,2024-01-12,2025-12-10
GSM Outdoors,51926.52,14,2025-02-06,2025-09-08
DHL eCommerce,39863.12,2,2024-01-31,2024-02-28
Pradco Outdoors Brands,36009.79,6,2024-01-08,2024-10-18
Major League Fishing,21228.3,3,2024-07-08,2025-11-05
"Jinhua Jiafu Trade Co., Ltd.",17694.72,2,2024-07-02,2024-08-31
TrailBlaze,15000.0,3,2024-01-08,2024-05-02
Livingston Lures,14571.0,1,2024-03-11,2024-03-11
V&M,13865.01,4,2024-05-06,2024-08-31
B8Lab,13414.54,3,2024-06-30,2025-07-01
A.N.E Wholesale,12101.72,2,2024-02-16,2024-03-19
"Dimension Studios, Inc.",11020.61,3,2025-10-29,2025-11-30
"Procopio Cory, Hargreaves & Savitch LLP",10591.12,3,2024-03-07,2024-07-18
"Yangzhou SourcePro Outdoors Co.,LTD.",7182.01,3,2024-06-30,2024-11-11
TTI Blakemore Group,6527.13,4,2024-02-01,2025-12-02
Coastal Sports Distributors LLC,5791.5,1,2024-11-07,2024-11-07
VRX Fishing Products,3541.0,1,2024-06-20,2024-06-20
PayPal,3409.34,9,2025-07-08,2025-07-16
"Heyuan Boyue Color Printing Co.,Ltd",3379.99,4,2024-07-02,2024-11-01
Outdoor Expo,3296.0,2,2025-01-06,2025-02-25
Orange Carrot,2250.0,5,2024-06-01,2024-09-03
Jingjiang Ruinuo Metal Tools Manufacture Co.,1900.0,2,2024-07-31,2024-11-11
Bruiser Baits,1536.25,1,2024-08-01,2024-08-01
ATS Printing,1301.35,2,2024-05-21,2024-06-11
"Guangdong Boyue Digital Application Technology Co.,Ltd",1036.0,1,2024-10-07,2024-10-07
Wishiwazfishin,416.67,1,2024-03-26,2024-03-26
"Yiwu Tengyuan Painting Materials Co., Ltd.",376.95,1,2024-12-31,2024-12-31
