Month,Cash_Checking,Cash_Business,Cash_Savings,Inventory,AP,Total_Cash,Working_Capital
January 2024,108705.31,25460.76,25746.04,516351.69,137283.35,159912.11000000002,538980.4500000001
February 2024,101006.35,10387.540000000005,10747.319999999998,495488.0,150021.12,122141.21,467608.08999999997
March 2024,133007.72,5739.910000000003,5747.5099999999975,475042.07,139964.3,144495.14,479572.91
April 2024,118247.05,12599.920000000002,9971.399999999998,458484.2299999999,171966.53999999998,140818.37,427336.0599999999
May 2024,112159.03,6083.180000000002,9971.739999999998,424633.4799999999,184989.59,128213.95000000001,367857.83999999997
June 2024,128965.08,6313.180000000002,9972.069999999998,425838.8299999999,211611.47,145250.33000000002,359477.68999999994
July 2024,126531.88,9683.180000000002,9972.409999999998,428286.4399999999,222177.68,146187.47,352296.2299999999
August 2024,104803.33,3131.590000000002,9972.749999999998,402946.8699999999,197149.50999999995,117907.67,323705.0299999999
September 2024,117279.35,12225.48,9973.079999999998,382226.6199999999,180006.60999999996,139477.91,341697.9199999999
October 2024,101819.51,6347.090000000001,9973.419999999998,368089.4399999999,180230.75,118140.01999999999,305998.70999999985
November 2024,96971.34,6347.090000000001,9973.749999999998,325691.91999999987,151756.36,113292.18,287227.7399999999
December 2024,140116.69,6347.090000000001,9974.089999999998,273914.70999999985,142329.21,156437.87,288023.3699999999
January 2025,96811.95,6347.090000000001,9974.429999999998,276748.35999999987,153433.13,113133.46999999999,236448.69999999984
February 2025,100930.23,6347.090000000001,9974.739999999998,300561.46999999986,192816.5,117252.06,224997.02999999985
March 2025,104698.67,5000.000000000001,5000.2199999999975,263706.2499999999,147309.86,114698.89,231095.2799999999
April 2025,105846.55000000002,5000.000000000001,5000.379999999997,291365.9499999999,167943.5,115846.93000000002,239269.3799999999
May 2025,124461.09000000004,5000.000000000001,5000.549999999997,279997.1999999999,146793.12,134461.64000000004,267665.72
June 2025,104645.70000000004,5000.000000000001,5000.709999999997,260066.96999999988,143767.07,114646.41000000003,230946.30999999988
July 2025,86718.35000000003,5000.000000000001,5000.879999999997,260651.29999999987,136531.9,96719.23000000004,220838.62999999992
August 2025,96403.38000000003,5000.000000000001,5001.049999999997,281070.8799999999,171224.95,106404.43000000004,216250.35999999993
September 2025,187838.23000000004,5000.000000000001,5001.209999999997,291070.7099999999,184037.81,197839.44000000003,304872.3399999999
October 2025,101185.49000000003,5000.000000000001,5001.379999999997,275159.6299999999,169405.16999999998,111186.87000000002,216941.3299999999
November 2025,117729.17000000004,5000.000000000001,5001.539999999997,297447.41999999987,217313.65,127730.71000000004,207864.4799999999
December 2025,90326.64000000004,5000.000000000001,5001.709999999997,282779.4399999999,229389.79,100328.35000000003,153717.9999999999
