Rank,SKU,Product_Name,Product_Type,Vendor,Revenue,Quantity,Avg_Price,Order_Count,Current_Price,Current_Inventory,Status
1,mb-subscription-south-1,Platinum: South: monthly,Subscription Box,,169421.68,4423,38.3,4420,,,
2,mb-subscription-northeast-1,Platinum Series Northeast: monthly,Subscription Box,MONSTERBASS,128439.67,3348,38.36,3345,39.00,994620,DRAFT
3,mb-subscription-greatlakes-1,Platinum Series Midwest: monthly,Subscription Box,MONSTERBASS,97529.85,2548,38.28,2543,39.99,1004459,DRAFT
4,mb-subscription-south-3,Platinum: South: 3 month,Subscription Box,,96777.0,2849,33.97,2849,,,
5,mb-subscription-greatlakes-3,Platinum Series Midwest: 3 month,Subscription Box,MONSTERBASS,85192.0,2451,34.76,2448,117.00,-2904,DRAFT
6,mb-subscription-northeast-3,Platinum Series Northeast: 3 month,Subscription Box,MONSTERBASS,83238.95,2399,34.7,2396,117.00,996170,DRAFT
7,PLATINUM-NEW-3,Platinum Series: 3 month,Subscription Box,MONSTERBASS,78006.29,698,111.76,696,120.95,-4121,DRAFT
8,PLATINUM-NEW,Platinum Series: monthly,Subscription Box,MONSTERBASS,77953.59,1979,39.39,1974,38.00,1000945,DRAFT
9,PLATINUM-NEW-12,Platinum Series: 12 month,Subscription Box,MONSTERBASS,70525.95,159,443.56,159,479.95,-1838,DRAFT
10,PLATINUM-NEW-6,Platinum Series: 6 month,Subscription Box,MONSTERBASS,49303.95,220,224.11,218,239.95,-1729,DRAFT
11,mb-subscription-south-12,Platinum Series South: 12 month,Subscription Box,,48706.0,1657,29.39,1657,,,
12,GOLD-NEW,Gold Series: 6 month,Subscription Box,MONSTERBASS,48222.1,828,58.24,828,348.00,145,DRAFT
13,mb-subscription-northeast-6,Platinum Series Northeast: 6 month,Subscription Box,MONSTERBASS,46793.0,1409,33.21,1409,234.00,998460,DRAFT
14,mb-subscription-psw-1,Platinum Series West: monthly,Subscription Box,MONSTERBASS,46004.16,1199,38.37,1199,39.00,-990,DRAFT
15,platinum-0625,Platinum - Bass Monthly: June 2025,Subscription Box,,45884.07,1303,35.21,1301,,,
16,TikTok-29,MONSTERBASS Mystery Box - The Big Box,Subscription Box,MONSTERBASS,42150.15,958,44.0,859,29.95,171,ACTIVE
17,mb-subscription-pnwmp-1,Platinum Series NW/Mtn: monthly,Subscription Box,MONSTERBASS,42149.51,1101,38.28,1100,39.00,-894,DRAFT
18,mb-subscription-south-6,Platinum Series: 6 month,Subscription Box,,41280.0,1357,30.42,1357,,,
19,mb-subscription-greatlakes-12,Platinum Series Midwest: 12 month,Subscription Box,MONSTERBASS,40578.0,1311,30.95,1311,468.00,-811,DRAFT
20,platinum-0525,Platinum - Bass Monthly: May 2025,Subscription Box,MONSTERBASS,38573.38,1597,24.15,1596,0.00,0,DRAFT
21,mb-subscription-greatlakes-6,Platinum Series Midwest: 6 month,Subscription Box,MONSTERBASS,37151.94,1143,32.5,1143,234.00,-815,DRAFT
22,mb-subscription-northeast-12,Platinum Series Northeast: 12 month,Subscription Box,MONSTERBASS,35538.0,1274,27.89,1274,468.00,998758,DRAFT
23,platinum-0425,Platinum - Bass 3 Month: April 2025,Subscription Box,,35001.72,1148,30.49,1145,,,
24,mb-subscription-pnwmp-3,Platinum Series NW/Mtn: 3 month,Subscription Box,MONSTERBASS,34775.0,982,35.41,982,117.00,998979,DRAFT
25,platinum-0825,Platinum - Bass Monthly: August 2025,Subscription Box,,34704.8,1307,26.55,1306,,,
26,platinum-0725,Platinum - Bass 3 Month: July 2025,Subscription Box,,34439.97,1329,25.91,1325,,,
27,platinum-1025,Platinum - Bass Monthly: October 2025,Subscription Box,,31869.22,699,45.59,699,,,
28,platinum-1225,Platinum - Bass Monthly: December 2025,Subscription Box,,31443.22,919,34.21,919,,,
29,mb-subscription-psw-3,Platinum Series West: 3 month,Subscription Box,MONSTERBASS,30678.5,857,35.8,857,117.00,999117,DRAFT
30,platinum-1125,Platinum - Bass 3 Month: November 2025,Subscription Box,,30604.22,686,44.61,686,,,
31,platinum-0325,Platinum - Bass Monthly: March 2025,Subscription Box,,30322.72,911,33.29,909,,,
32,platinum-0925,Platinum - Bass Monthly: September 2025,Subscription Box,,30144.7,738,40.85,737,,,
33,platinum-1124,Platinum - Bass 12 Month: November 2024,Subscription Box,,29745.88,1292,23.02,1291,,,
34,mb-subscription-florida-1,Platinum: South: monthly,Subscription Box,MONSTERBASS,28673.22,766,37.43,765,38.00,1000960,DRAFT
35,mb-subscription-national-1,National Box,Subscription Box,MONSTERBASS,27569.98,980,28.13,979,29.95,0,DRAFT
36,platinum-1224,Platinum - Bass Monthly: December 2024,Subscription Box,,26700.0,743,35.94,743,,,
37,MBV-3700,"The Vault | 3600, 3700, Spinnerbait, Crankbait & Jig/Chatterbait boxes - 3700",Tackle Bags & Boxes,MONSTERBASS,26604.45,1529,17.4,429,19.95,294,ACTIVE
38,silver-3,Silver Series: 3 month,Subscription Box,MONSTERBASS,24780.0,1602,15.47,1595,60.00,996154,DRAFT
39,platinum-0225,Platinum - Bass Monthly: February 2025,Subscription Box,,24550.0,881,27.87,832,,,
40,mb-subscription-2-month,Platinum Series: 2 month plan,Subscription Box,MONSTERBASS,24523.96,636,38.56,635,39.00,1002356,DRAFT
41,platinum-0125,Platinum - Big Bass Box,Subscription Box,,23979.0,820,29.24,815,,,
42,silver-1,Silver Series: monthly,Subscription Box,MONSTERBASS,23580.0,1179,20.0,1175,20.00,9999991,DRAFT
43,FGOTX71M,"Fate Green/Origin TX 7'1"" M Casting Combo - 7.1:1 Gear Ratio RH",Fishing Rod,13 Fishing,23518.53,147,159.99,146,159.99,-1,ARCHIVED
44,silver-6,Silver Series: 6 month,Subscription Box,MONSTERBASS,23160.0,1582,14.64,1581,120.00,997027,DRAFT
45,mb-subscription-ms-3,Multi-Species: 3 month,Subscription Box,MONSTERBASS,22734.0,636,35.75,630,120.00,1000,DRAFT
46,mb-subscription-ms-1,Multi-Species: monthly,Subscription Box,MONSTERBASS,22310.0,586,38.07,586,39.95,1000,DRAFT
47,GIFT-SPINNING-REEL,FREE GIFT: Spinning Fishing Reel,Spinning Reel,ProFISHiency,20850.0,697,29.91,691,30.00,-1159,ACTIVE
48,mb-subscription-national-3,Gold Series: 3 month,Subscription Box,MONSTERBASS,20835.0,777,26.81,777,89.95,1000,DRAFT
49,kids-welcome,Create A Bait - Kid's Fishing Kit,Subscription Box,MONSTERBASS,18856.71,920,20.5,760,24.95,-966,ACTIVE
50,mb-subscription-pnwmp-12,Platinum: PNW & Mountain: 12 month,Subscription Box,MONSTERBASS,18698.0,643,29.08,643,468.00,999969,DRAFT
51,GOLD-0724,Gold Monthly: July 2024 - 1 Month,Subscription Box,,18257.43,781,23.38,779,,,
52,silver-12,Silver Series: 12 month,Subscription Box,MONSTERBASS,18240.0,1350,13.51,1255,240.00,998209,DRAFT
53,MULTI-NEW-3,Platinum Series Bass & Panfish: 3 month,Subscription Box,MONSTERBASS,18051.95,160,112.82,160,120.95,-181,DRAFT
54,PROSTAFF,Platinum: ProStaff monthly,InternalUseOnly,MONSTERBASS,17784.0,468,38.0,468,38.00,-594,ACTIVE
