Product_Type,Revenue,Quantity,SKU_Count,Pct_of_Revenue
Subscription Box,2772916.88,83052,200,71.6
Fishing Rod,223955.95,1843,41,5.8
Tackle Bundle,97384.38,2840,54,2.5
InternalUseOnly,77523.2,1543,14,2.0
Tackle Bags & Boxes,63914.35,4235,16,1.6
Squarebill,45562.61,5163,105,1.2
Topwater,40283.68,4058,100,1.0
Crankbaits,38589.33,4498,189,1.0
Bladed Jigs,37264.03,4118,52,1.0
Spinnerbaits,36113.27,4109,75,0.9
Jerkbaits,24518.21,2884,63,0.6
Unknown,24375.0,1498,58,0.6
Lipless Crankbait,24101.72,2774,56,0.6
Unclassified,22118.22,2796,30,0.6
Spinning Reel,21948.41,716,9,0.6
Walking Baits,21312.69,1750,36,0.6
Fishing Reel,20490.76,351,15,0.5
Craws & Creatures,17682.55,4392,130,0.5
Hoodies & Outerwear,16745.74,431,158,0.4
Protection,16538.48,13176,15,0.4
Fishing Rod Accessories,16224.25,2549,17,0.4
Hats,15193.5,794,41,0.4
Gift Card,14672.9,276,9,0.4
Shirts,13657.88,771,185,0.4
Technique Specific Kit,12944.09,261,6,0.3
Frogs,11556.62,1197,32,0.3
Soft Swimbaits,9013.51,1491,89,0.2
Worms,8724.54,1650,120,0.2
Tungsten,8033.53,1453,60,0.2
Stickers,7950.9,4025,41,0.2
Kayaks,7110.99,5,4,0.2
Blade Baits & Spoons,7074.33,1573,15,0.2
Buzzbaits,6327.1,494,23,0.2
Jigs,5871.72,1321,37,0.2
Cowboy Knife,5773.0,53,35,0.1
Apparel,5186.78,364,49,0.1
Jig Heads,5037.72,1127,38,0.1
Casting Reel,4835.33,67,5,0.1
Popper,4536.36,600,21,0.1
UV Protection,3803.95,179,17,0.1
Panfish Baits,3438.24,717,70,0.1
Welcome Box,3400.0,85,1,0.1
Swimbaits,3322.0,298,19,0.1
Shipping Protection,3271.24,2594,9,0.1
Football Jigs,3109.93,524,7,0.1
Baits,3052.44,543,23,0.1
Swim Jigs,2543.97,424,9,0.1
Rod & Reel Combo,2429.77,23,11,0.1
Accessories,2070.47,347,19,0.1
Gift Box,2070.0,68,5,0.1
Hooks,1874.88,473,21,0.0
Pickles,1648.32,88,16,0.0
cowboy belt knives,1632.0,15,5,0.0
Finesse Baits,1605.84,117,6,0.0
Clothing,1500.95,5,4,0.0
Casting Rod,1456.85,15,10,0.0
Spinning Rod,1337.82,18,12,0.0
Grubs,1324.48,211,10,0.0
Fishing Tools,1254.65,107,7,0.0
Axe,1189.0,5,5,0.0
Bull Cutter,1125.0,11,7,0.0
Braid,1052.89,36,34,0.0
Fishing Line,812.36,90,7,0.0
Food Smokers,759.98,2,2,0.0
Fluorocarbon,691.83,54,10,0.0
Fillet Knife,675.0,6,5,0.0
Damascus Knife,590.0,3,2,0.0
Finesse baits,560.96,112,14,0.0
Knives,527.99,4,3,0.0
Bowie Knives,445.0,3,2,0.0
Seax,420.0,3,3,0.0
Ulu Knives,360.0,3,1,0.0
Terminal Tackle,347.58,125,6,0.0
"12"" Push Bike",299.99,1,1,0.0
Double Up System,289.99,1,1,0.0
Home & Garden,286.45,1,1,0.0
Sunglasses,280.0,8,2,0.0
Hunting Knives,232.0,2,2,0.0
Concealment Pouch,223.84,4,1,0.0
Kayak Accessories,221.99,4,3,0.0
Chef Knife,220.0,1,1,0.0
Sleeping Bag,219.98,2,1,0.0
new,184.85,3,3,0.0
Classic Wedge,169.9,1,1,0.0
Kukri,150.0,1,1,0.0
Cleaver Knife,135.0,1,1,0.0
Fishing Reel Accessories,132.8,9,4,0.0
Deer Call,131.9,2,1,0.0
Hunting Knife,129.97,3,3,0.0
Weights,128.0,19,3,0.0
Bucktail Jig,125.79,21,5,0.0
Tracker Knife,115.0,1,1,0.0
Dry Bags,105.0,1,1,0.0
BBQ Accessories,99.95,5,5,0.0
Folding Knife,99.0,1,1,0.0
Industrial Wedge,99.0,1,1,0.0
Fishing Floats & Bobbers,87.96,4,2,0.0
Flipping Jigs,74.84,16,2,0.0
Beef Jerky,73.58,9,5,0.0
Entrenching Tool,69.97,3,2,0.0
Pop-Up Pit Accessories,69.95,1,1,0.0
Topwater Plopper,66.97,5,2,0.0
Broadheads,49.95,1,1,0.0
Hot Sauce,48.99,2,2,0.0
BBQ Rubs & Seasonings,46.99,2,2,0.0
Fishing Baits & Lures,45.0,11,2,0.0
Bass Flies,43.98,2,1,0.0
Bolts,39.99,1,1,0.0
Blind Bag,24.99,1,1,0.0
BBQ Sauce,17.99,1,1,0.0
Emergency Supplies,15.95,1,1,0.0
Trout Wet Flies,12.95,1,1,0.0
Shipping Material,10.0,2,1,0.0
