Month,Shopify_Gross,Shopify_Refunded,Shopify_Net,Shopify_Shipping,Shopify_Tax,Shopify_Discounts,Shopify_Payout_Deposited,QBO_Revenue,QBO_Deposits,Var_Net_vs_QBO_Rev,Var_Payout_vs_QBO_Dep,Order_Count
2024-01,158766.52,4363.0,154018.33,10204.02,9494.91,37129.63,94296.41,101097.75,190660.76,52920.58,-96364.35,5183
2024-02,171588.56,3918.58,167869.99,12483.29,10430.68,29266.12,106989.75,107402.26,212650.46,60467.73,-105660.71,5096
2024-03,209467.58,7465.4,201388.59,15105.46,12740.11,53884.55,126554.56,128363.44,254430.2,73025.15,-127875.64,5357
2024-04,188403.79,5248.9,183179.89,20367.41,11305.32,40945.78,129374.69,130857.15,256252.02,52322.74,-126877.33,5269
2024-05,181754.82,5095.69,176562.76,20852.19,10971.96,39747.4,110256.19,111544.84,217878.88,65017.92,-107622.69,5029
2024-06,196658.49,5030.36,191452.86,21185.25,11852.67,39116.74,124749.04,125927.83,244975.28,65525.03,-120226.24,4928
2024-07,170067.1,5374.39,163438.47,18235.6,9825.78,35167.23,113556.74,119242.76,222727.86,44195.71,-109171.12,4665
2024-08,142592.03,2706.15,139481.53,16224.88,8505.65,18862.3,85006.47,86138.83,168693.16,53342.7,-83686.69,4379
2024-09,158000.03,3917.09,153981.59,14946.86,9587.58,28757.05,102548.37,103276.02,203880.78,50705.57,-101332.41,4092
2024-10,131503.02,3344.15,128108.51,12855.71,7931.81,18598.53,87729.17,90562.98,172699.7,37545.53,-84970.53,3689
2024-11,142202.93,5226.02,136905.3,12714.94,8552.33,27713.42,75542.22,96735.19,191375.32,40170.11,-115833.1,3623
2024-12,172923.47,7487.95,165435.52,15072.44,10158.22,36449.47,131416.66,103592.53,201358.64,61842.99,-69941.98,3968
2025-01,121389.06,3470.72,117918.34,12016.78,7184.72,24481.36,76496.3,79649.21,152178.38,38269.13,-75682.08,3346
2025-02,119331.09,2625.02,116706.07,13261.07,7008.7,30351.0,72183.61,82893.54,152193.62,33812.53,-80010.01,3422
2025-03,165736.5,2521.54,160919.95,17072.25,9794.15,50080.31,106995.04,118715.75,236269.2,42204.2,-129274.16,3938
2025-04,154724.91,2962.14,151733.55,17367.49,9121.43,35337.57,115334.54,109065.33,221173.58,42668.22,-105839.04,4128
2025-05,171301.9,1782.17,168615.42,18990.25,10156.1,49419.55,116502.18,108815.63,214536.26,59799.79,-98034.08,4743
2025-06,185519.63,2724.62,182799.35,18431.93,10909.34,36139.68,125796.64,125924.01,249105.8,56875.34,-123309.16,4256
2025-07,144963.53,1537.01,143247.52,16366.77,8687.11,30226.99,116954.79,122100.9,240385.88,21146.62,-123431.09,4026
2025-08,133867.04,1423.09,129603.7,14694.75,7686.65,27628.26,89502.57,100643.06,198543.26,28960.64,-109040.69,3726
2025-09,122105.49,2426.37,119685.31,12589.15,7473.74,27681.85,92577.27,82193.21,444386.42,37492.1,-351809.15,3441
2025-10,117197.35,2191.59,113693.01,12451.45,7035.24,27150.17,79033.97,74234.59,148469.18,39458.42,-69435.21,3358
2025-11,162819.24,4261.56,157168.41,14273.15,9749.2,43553.29,70298.68,95878.98,181631.56,61289.43,-111332.88,3797
2025-12,181547.73,5092.35,175195.38,13767.03,10515.34,29051.57,129967.93,111451.04,222902.08,63744.34,-92934.15,3660
2026-01,347.46,0.0,347.46,29.75,22.44,201.29,0,0,0,347.46,0,7
