account_number,account_name,user_mapped_account_name
,Undeposited Funds,Clearing Account
,Client Reimbursement Income,Client Reimbursable Expenses
,Shareholder Distribution,Partner Distributions
,Office Expenses and Supplies,Office Supplies
,Cost of Goods Sold,Subcontractor Costs
,Chase #2299,Cash - Operating Account
,Chase #0962 (New Ink) CLOSED,Accounts Payable - Credit Cards
,Chase #2661,Accounts Payable - Credit Cards
,Meals and Entertainment,Meals (Business)
,Travel Meals,Meals (Business)
,Auto:Parking,Parking & Tolls
,Healthcare,Health Insurance
,Other Portfolio Income,Other Income
,Repairs and Maintenance,Office Supplies
,Pets,Partner Distributions
,Dues & Subscriptions,Subscriptions & Publications
,Client Setup,Catch-up Bookkeeping
,Chase #7121 (MC CC) CLOSED,Accounts Payable - Credit Cards
,SEP IRA,Retirement Plan Contributions
,Ramp,Accounts Payable - Credit Cards
,Taxes & Licenses,Federal Income Tax Expense
,Discounts given,Catch-up Bookkeeping
,Consulting Services,Business Consulting
,Payroll Expenses:Wages,Salaries & Wages - Partners
,Owner's Personal,Partner Distributions
,Capital stock,Partner Distributions
,Opening Balance Equity,Partner Distributions
,Unapplied Cash Payment Income,Bookkeeping Revenue
,"Shipping, Freight & Delivery - COS",Postage & Shipping
,Mercury #5806,Cash - Operating Account
,Bill.com Money In Clearing,Clearing Account
,Payroll Expenses:Taxes,Payroll Taxes
,Payroll Expenses:Pension Expense (deleted),Retirement Plan Contributions
,Corporate Fleet,Long-term Investments
,Content Creator Services,Monthly Bookkeeping
,Mercury Treasury #1019,Cash - Operating Account
,Dividend income,Other Income
,Interest Earned,Interest Income
,Rent or Lease,Rent Expense
,Services,Monthly Bookkeeping
