,Distribution account,Transaction date,Transaction type,Num,Name,Memo/Description,Split account,Amount,Balance
OLD Outlet Bait Checking (9167),,,,,,,,,
,Beginning Balance,,,,,,,,0
Total for OLD Outlet Bait Checking (9167),,,,,,,,,
Outdoor INC Checking (1203),,,,,,,,,
,Beginning Balance,,,,,,,,151391.31
,Outdoor INC Checking (1203),01/01/2024,Check,0632,Maximus Outdoors,,Maximus Outdoors Loan,-16000,135391.31
,Outdoor INC Checking (1203),01/01/2024,Check,0668,Maximus Outdoors,,Maximus Outdoors Loan,-10000,125391.31
,Outdoor INC Checking (1203),01/01/2024,Bill Payment (Check),0676,B8Lab,Voided,Accounts Payable (A/P),0,125391.31
,Outdoor INC Checking (1203),01/01/2024,Bill Payment (Check),0684,David Vance McCullough,,Accounts Payable (A/P),-1000,124391.31
,Outdoor INC Checking (1203),01/01/2024,Check,0690,Sarah Bennage Morton,11/11/2023 – 11/30/2023,Sarah Bennage,-140,124251.31
,Outdoor INC Checking (1203),01/01/2024,Bill Payment (Check),0692,Paul Glass,,Accounts Payable (A/P),-625,123626.31
,Outdoor INC Checking (1203),01/01/2024,Bill Payment (Check),ACH,Eagle Warehouse & Distribution Center Inc,,Accounts Payable (A/P),-2436,121190.31
,Outdoor INC Checking (1203),01/01/2024,Bill Payment (Check),ACH,Eagle Warehouse & Distribution Center Inc,,Accounts Payable (A/P),-2657.43,118532.88
,Outdoor INC Checking (1203),01/01/2024,Expense,,Rochelle Johansen Mitchell,,Visa0270,-7752.62,110780.26000000001
,Outdoor INC Checking (1203),02/01/2024,Check,0633,Maximus Outdoors,,Maximus Outdoors Loan,-16000,94780.26000000001
,Outdoor INC Checking (1203),02/01/2024,Check,0669,Maximus Outdoors,,Maximus Outdoors Loan,-10000,84780.26000000001
,Outdoor INC Checking (1203),03/01/2024,Check,0634,Maximus Outdoors,,Maximus Outdoors Loan,-16000,68780.26000000001
,Outdoor INC Checking (1203),04/01/2024,Check,0635,Maximus Outdoors,,Maximus Outdoors Loan,-16000,52780.26000000001
Total for Outdoor INC Checking (1203),,,,,,,,-98611.05,
Outdoor INC Savings (7944),,,,,,,,,
,Beginning Balance,,,,,,,,25746.04
Total for Outdoor INC Savings (7944),,,,,,,,,
Outdoor LLC Checking (0860),,,,,,,,,
,Beginning Balance,,,,,,,,0
Total for Outdoor LLC Checking (0860),,,,,,,,,
Outdoor LLC Savings (8971),,,,,,,,,
,Beginning Balance,,,,,,,,0
Total for Outdoor LLC Savings (8971),,,,,,,,,
Outdoor Playground Checking (0860) (deleted),,,,,,,,,
,Beginning Balance,,,,,,,,0
Total for Outdoor Playground Checking (0860) (deleted),,,,,,,,,
Outdoor Playground Checking (6370) (deleted),,,,,,,,,
,Beginning Balance,,,,,,,,0
Total for Outdoor Playground Checking (6370) (deleted),,,,,,,,,
Outlet Bait Checking (7065),,,,,,,,,
,Beginning Balance,,,,,,,,22262.7
Total for Outlet Bait Checking (7065),,,,,,,,,
PayPal Bank,,,,,,,,,
,Beginning Balance,,,,,,,,0
Total for PayPal Bank,,,,,,,,,
QuickBooks Checking Account,,,,,,,,,
,QuickBooks Checking Account,01/25/2024,Bill Payment (Check),1,Shenzhen YSLC Technology Co,,Accounts Payable (A/P),-4241.18,-4241.18
Total for QuickBooks Checking Account,,,,,,,,-4241.18,
Accounts Receivable (A/R),,,,,,,,,
,Beginning Balance,,,,,,,,-1700
Total for Accounts Receivable (A/R),,,,,,,,,
Allowance for Doubtful Account,,,,,,,,,
,Beginning Balance,,,,,,,,0
Total for Allowance for Doubtful Account,,,,,,,,,
Deposit-Purchase Order,,,,,,,,,
,Beginning Balance,,,,,,,,24156.94
,Deposit-Purchase Order,01/30/2024,Bill,1936,Recertop Tech Co Limited,,Accounts Payable (A/P),-9462,14694.939999999999
,Deposit-Purchase Order,06/05/2024,Bill,2003,Major League Fishing,,Accounts Payable (A/P),-843.25,13851.689999999999
,Deposit-Purchase Order,06/13/2024,Bill,2009,Bruiser Baits,,Accounts Payable (A/P),-1536.25,12315.439999999999
,Deposit-Purchase Order,07/21/2025,Bill,2075,Leichi China something,,Accounts Payable (A/P),1850,14165.439999999999
Total for Deposit-Purchase Order,,,,,,,,-9991.5,
Inventory Asset,,,,,,,,,
,Beginning Balance,,,,,,,,519719.61
,Inventory Asset,01/01/2024,Inventory Starting Value,START,,TUF50T500 - Opening inventory and value,Opening Balance Equity,0,519719.61
,Inventory Asset,01/01/2024,Inventory Starting Value,START,,TUF50T502 - Opening inventory and value,Opening Balance Equity,0,519719.61
,Inventory Asset,01/01/2024,Inventory Starting Value,START,,SF-DW-GG-LE - Opening inventory and value,Opening Balance Equity,0,519719.61
,Inventory Asset,01/01/2024,Inventory Starting Value,START,,LB-TSC - Opening inventory and value,Opening Balance Equity,0,519719.61
,Inventory Asset,01/08/2024,Bill,1905,Weihai Runten Industrial Limited,Dirty Dancer - Bone   TOPWATER  UPC 675162131789,Accounts Payable (A/P),190,519909.61
