,Transaction date,Transaction type,Num,Customer full name,Vendor,Memo/Description,Cleared,Amount
Business Banking- 7065,,,,,,,,
553,,,,,,,,
,03/05/2024,Deposit,,,,Shopify          DES:TRANSFER   ID:ST-W1Z3I3P8G9P8           INDN:OUTDOOR PLAYGROUND INC  CO ID:XXXXX48598 CCD,Reconciled,724.38
,03/05/2024,Deposit,,,,Shopify          DES:TRANSFER   ID:ST-W1Z3I3P8G9P8           INDN:OUTDOOR PLAYGROUND INC  CO ID:XXXXX48598 CCD,,724.38
573,,,,,,,,
,03/06/2024,Deposit,,,,Shopify          DES:TRANSFER   ID:ST-P5D0S3P0N0F7           INDN:OUTDOOR PLAYGROUND INC  CO ID:XXXXX48598 CCD,Reconciled,569.93
,03/06/2024,Deposit,,,,Shopify          DES:TRANSFER   ID:ST-P5D0S3P0N0F7           INDN:OUTDOOR PLAYGROUND INC  CO ID:XXXXX48598 CCD,,569.93
774,,,,,,,,
,04/04/2024,Deposit,,,,Online Banking transfer from CHK 1203                       Confirmation# XXXXX90656,Reconciled,10000
,04/04/2024,Deposit,,,,Online Banking transfer from CHK 1203                       Confirmation# XXXXX90656,Reconciled,-10000
1956,,,,,,,,
,09/10/2024,Deposit,,,,RETURN OF POSTED CHECK / ITEM (RECEIVED ON 09-09)           ELECTRONIC TRANSACTION,Reconciled,5906.11
,09/10/2024,Deposit,,,,RETURN OF POSTED CHECK / ITEM (RECEIVED ON 09-09)           ELECTRONIC TRANSACTION,Reconciled,5906.11
Business Checking - 1203,,,,,,,,
69,,,,,,,,
,01/02/2024,Deposit,,,,Shopify          DES:TRANSFER   ID:ST-V1Z3O6L0J9E2           INDN:OUTDOOR PLAYGROUND INC  CO ID:XXXXX48598 CCD,Reconciled,135.65
,01/02/2024,Deposit,,,,Shopify          DES:TRANSFER   ID:ST-V1Z3O6L0J9E2           INDN:OUTDOOR PLAYGROUND INC  CO ID:XXXXX48598 CCD,,135.65
72,,,,,,,,
,01/02/2024,Deposit,,,Shopify,Shopify          DES:TRANSFER   ID:ST-G8J4U0O7R2W6           INDN:OUTDOOR PLAYGROUND      CO ID:XXXXX48598 CCD,Reconciled,3005.49
,01/02/2024,Deposit,,,Shopify,Shopify          DES:TRANSFER   ID:ST-G8J4U0O7R2W6           INDN:OUTDOOR PLAYGROUND      CO ID:XXXXX48598 CCD,,3005.49
79,,,,,,,,
,01/02/2024,Deposit,,Stripe,,STRIPE           DES:TRANSFER   ID:ST-H6D0O2W3U6R1           INDN:RICHARD PATRI           CO ID:XXXXX65600 CCD,Reconciled,1055.3
,01/02/2024,Deposit,,Stripe,,STRIPE           DES:TRANSFER   ID:ST-H6D0O2W3U6R1           INDN:RICHARD PATRI           CO ID:XXXXX65600 CCD,,1055.3
86,,,,,,,,
,01/02/2024,Deposit,,,,PAYPAL           DES:TRANSFER   ID:XXXXX40256272             INDN:MAXIMUS OUTDOORS        CO ID:PAYPALSD11 PPD,Reconciled,6432.95
,01/02/2024,Deposit,,,,PAYPAL           DES:TRANSFER   ID:XXXXX40256272             INDN:MAXIMUS OUTDOORS        CO ID:PAYPALSD11 PPD,,6432.95
70,,,,,,,,
,01/03/2024,Deposit,,,Shopify,Shopify          DES:TRANSFER   ID:ST-G0S6Y0K4A7K5           INDN:OUTDOOR PLAYGROUND      CO ID:XXXXX48598 CCD,Reconciled,10337.02
,01/03/2024,Deposit,,,Shopify,Shopify          DES:TRANSFER   ID:ST-G0S6Y0K4A7K5           INDN:OUTDOOR PLAYGROUND      CO ID:XXXXX48598 CCD,,10337.02
73,,,,,,,,
,01/03/2024,Deposit,,,Shopify,Shopify          DES:TRANSFER   ID:ST-V2A8R7E3R5Q4           INDN:OUTDOOR PLAYGROUND INC  CO ID:XXXXX48598 CCD,Reconciled,217.94
,01/03/2024,Deposit,,,Shopify,Shopify          DES:TRANSFER   ID:ST-V2A8R7E3R5Q4           INDN:OUTDOOR PLAYGROUND INC  CO ID:XXXXX48598 CCD,,217.94
78,,,,,,,,
,01/03/2024,Deposit,,Stripe,,STRIPE           DES:TRANSFER   ID:ST-V6D0Z5O7Q4G0           INDN:RICHARD PATRI           CO ID:XXXXX65600 CCD,Reconciled,818.41
,01/03/2024,Deposit,,Stripe,,STRIPE           DES:TRANSFER   ID:ST-V6D0Z5O7Q4G0           INDN:RICHARD PATRI           CO ID:XXXXX65600 CCD,,818.41
80,,,,,,,,
