Name,Distribution account,Total_Charged,Transaction_Count
Brex,Brex Card Account,-508406.92,316
Brex,Business Checking - 1203,-508406.92,314
Rick Patri,Amex,-475000.0,20
Rick Patri,Business Checking - 1203,-475000.0,20
Chase Bank,Business Checking - 1203,-139879.67,11
Chase Bank,Chase Visa (5176) (5184),-135000.0,10
"Creating Outdoors Consulting, LLC",Accounts Payable (A/P),-107400.0,25
ChaseBaits,Business Checking - 1203,-68092.43,6
ChaseBaits,Chase Visa (5176) (5184),-68092.43,6
GSM Outdoors,Accounts Payable (A/P),-51926.52,14
Rochelle Johansen Mitchell,Business Checking - 1203,-40788.58,9
Rochelle Johansen Mitchell,Visa 0270,-40780.58,10
DHL eCommerce,Accounts Payable (A/P),-39863.12,2
Pradco Outdoors Brands,Accounts Payable (A/P),-36009.79,6
Major League Fishing,Accounts Payable (A/P),-21228.3,3
Chase Bank,Chase CC (deleted),-18281.61,4
"Jinhua Jiafu Trade Co., Ltd.",Accounts Payable (A/P),-17694.72,2
TrailBlaze,Accounts Payable (A/P),-15000.0,3
Livingston Lures,Accounts Payable (A/P),-14571.0,1
V&M,Accounts Payable (A/P),-13865.01,4
Chase Bank,Business Banking- 7065,-13421.94,2
B8Lab,Accounts Payable (A/P),-13414.54,3
ChaseBaits,Business Banking- 7065,-12286.74,2
ChaseBaits,Chase CC (deleted),-12286.74,2
A.N.E Wholesale,Accounts Payable (A/P),-12101.72,2
"Dimension Studios, Inc.",Accounts Payable (A/P),-11020.61,3
"Procopio Cory, Hargreaves & Savitch LLP",Accounts Payable (A/P),-10591.12,3
Shopify,Business Checking - 1203,-7391.29,1
Shopify,Shopify Credit Card,-7391.29,1
"Yangzhou SourcePro Outdoors Co.,LTD.",Accounts Payable (A/P),-7182.01,3
TTI Blakemore Group,Accounts Payable (A/P),-6527.13,4
Coastal Sports Distributors LLC,Accounts Payable (A/P),-5791.5,1
VRX Fishing Products,Accounts Payable (A/P),-3541.0,1
"Heyuan Boyue Color Printing Co.,Ltd",Accounts Payable (A/P),-3379.99,4
Outdoor Expo,Accounts Payable (A/P),-3296.0,2
Orange Carrot,Accounts Payable (A/P),-2250.0,5
Jingjiang Ruinuo Metal Tools Manufacture Co.,Accounts Payable (A/P),-1900.0,2
Bruiser Baits,Accounts Payable (A/P),-1536.25,1
ATS Printing,Accounts Payable (A/P),-1301.35,2
"Guangdong Boyue Digital Application Technology Co.,Ltd",Accounts Payable (A/P),-1036.0,1
Wishiwazfishin,Accounts Payable (A/P),-416.67,1
"Yiwu Tengyuan Painting Materials Co., Ltd.",Accounts Payable (A/P),-376.95,1
Rochelle Johansen Mitchell,Office expenses,8.0,1
"Heyuan Boyue Color Printing Co.,Ltd",Bank fees & service charges,9.98,2
Chase Bank,Klaviyo,20.0,1
"Jinhua Jiafu Trade Co., Ltd.",Bank fees & service charges,234.52,1
"Heyuan Boyue Color Printing Co.,Ltd",Freight,286.0,1
"Yangzhou SourcePro Outdoors Co.,LTD.",Inventory Asset,359.0,1
"Yiwu Tengyuan Painting Materials Co., Ltd.",Amex,376.95,1
Wishiwazfishin,Chase Visa (5176) (5184),416.67,1
GS1 US Inc,Amex,500.0,1
GS1 US Inc,Other Costs of Services - COS,500.0,1
5 Alive Fishing,Inventory Asset,650.0,1
5 Alive Fishing,Chase Visa (5176) (5184),650.0,1
Major League Fishing,Inventory Asset,843.25,1
Facebook,Google,900.0,1
Stamps.com,Stamps and USPS,900.0,2
Stamps.com,Brex Card Account,900.0,2
TTI Blakemore Group,Visa 0270,987.85,1
"Guangdong Boyue Digital Application Technology Co.,Ltd",Amex,1036.0,1
ATS Printing,Chase Visa (5176) (5184),1301.35,2
"SUZHOU TOPDIVE SPORTS PRODUCTS CO.,LTD",BofA VIsa 8433,1466.33,1
"SUZHOU TOPDIVE SPORTS PRODUCTS CO.,LTD",Inventory Asset,1466.33,1
Bruiser Baits,Amex,1536.25,1
Bruiser Baits,Visa 0270,1536.25,1
Bruiser Baits,Inventory Asset,1536.25,1
Outdoor Expo,Trade Shows,1648.0,1
"Jinhua Jiafu Trade Co., Ltd.",Freight,1813.0,1
Jingjiang Ruinuo Metal Tools Manufacture Co.,Amex,1900.0,2
"Yazoo Mills, Inc.",Other Costs of Services - COS,1987.41,1
"Procopio Cory, Hargreaves & Savitch LLP",Amex,2116.0,1
Pradco Outdoors Brands,Amex,2250.0,1
Orange Carrot,Chase Visa (5176) (5184),2250.0,5
"Yazoo Mills, Inc.",Amex,2255.1,1
CDTFA,Taxes paid,2479.0,1
CDTFA,Chase Visa (5176) (5184),2479.0,1
A.N.E Wholesale,Visa 0270,2763.12,1
GSM Outdoors,Inventory Asset,2771.45,1
"Heyuan Boyue Color Printing Co.,Ltd",Inventory Asset,2833.4,4
VRX Fishing Products,Chase Visa (5176) (5184),3541.0,1
Los Angeles Office of Finance,Chase Visa (5176) (5184),4026.09,1
Los Angeles Office of Finance,Business licences,4026.09,1
Hendrix Fishing Company,Amex,4583.06,1
Hendrix Fishing Company,Inventory Asset,4583.06,1
"Yazoo Mills, Inc.",Chase Visa (5176) (5184),4742.99,2
Outdoor Expo,Chase Visa (5176) (5184),4944.0,3
Citrine CPA,Chase Visa (5176) (5184),5000.0,1
