Split account,Month,Amount,Count
Business Checking - 1203,2024-01,-3374.2299999999996,5
Business Checking - 1203,2024-02,-30105.229999999996,6
Business Checking - 1203,2024-03,-4105.23,2
Business Checking - 1203,2024-04,-20105.23,3
Business Checking - 1203,2024-05,-20105.23,3
Business Checking - 1203,2024-06,-14105.23,3
Business Checking - 1203,2024-07,-20105.23,3
Business Checking - 1203,2024-08,-4105.23,2
Business Checking - 1203,2024-09,-4105.23,2
Business Checking - 1203,2024-10,-4105.23,2
Business Checking - 1203,2024-11,-4038.84,2
Business Checking - 1203,2024-12,-5524.38,2
Business Checking - 1203,2025-01,-4062.38,2
Business Checking - 1203,2025-02,-3992.1099999999997,2
Business Checking - 1203,2025-03,-3992.1099999999997,2
Business Checking - 1203,2025-04,7248.89,3
Business Checking - 1203,2025-05,-3992.1099999999997,2
Business Checking - 1203,2025-06,-3992.1099999999997,2
Business Checking - 1203,2025-07,-3992.1099999999997,2
Business Checking - 1203,2025-08,-3992.1099999999997,2
Business Checking - 1203,2025-09,134252.38,10
Business Checking - 1203,2025-10,-20065.76,36
Business Checking - 1203,2025-11,-19820.26,30
Business Checking - 1203,2025-12,-31945.32,36
Business loan interest,2024-01,-1462.0,2
Business loan interest,2024-02,-731.0,1
Business loan interest,2024-03,-731.0,1
Business loan interest,2024-04,-731.0,1
Business loan interest,2024-05,-731.0,1
Business loan interest,2024-06,-731.0,1
Business loan interest,2024-07,-731.0,1
Business loan interest,2024-08,-731.0,1
Business loan interest,2024-09,-731.0,1
Business loan interest,2024-10,-731.0,1
Business loan interest,2024-11,-731.0,1
Business loan interest,2025-01,-731.0,1
Business loan interest,2025-02,-731.0,1
Business loan interest,2025-03,-731.0,1
Business loan interest,2025-04,-731.0,1
Business loan interest,2025-05,-731.0,1
Business loan interest,2025-06,-731.0,1
Business loan interest,2025-07,-731.0,1
Business loan interest,2025-08,-731.0,1
Business loan interest,2025-09,-731.0,1
Business loan interest,2025-10,-731.0,1
Business loan interest,2025-11,-731.0,1
Business loan interest,2025-12,-731.0,1
Maximus GrandeBass Loan,2024-01,0.0,2
Maximus GrandeBass Loan,2024-02,0.0,2
Maximus Outdoors,2024-02,-26000.0,2
Maximus Outdoors,2024-04,-16000.0,1
Maximus Outdoors,2024-05,-16000.0,1
Maximus Outdoors,2024-06,-10000.0,1
Maximus Outdoors,2024-07,-16000.0,1
Maximus Outdoors,2025-04,11241.0,1
Maximus Outdoors,2025-09,0.0,4
SBA,2024-12,-731.0,1
SBA7a,2024-01,-4836.23,1
SBA7a,2024-02,-4836.23,1
SBA7a,2024-03,-4836.23,1
SBA7a,2024-04,-4836.23,1
SBA7a,2024-05,-4836.23,1
SBA7a,2024-06,-4836.23,1
SBA7a,2024-07,-4836.23,1
SBA7a,2024-08,-4836.23,1
SBA7a,2024-09,-4836.23,1
SBA7a,2024-10,-4836.23,1
SBA7a,2024-11,-4769.84,1
SBA7a,2024-12,-4793.38,1
SBA7a,2025-01,-4793.38,1
SBA7a,2025-02,-4723.11,1
SBA7a,2025-03,-4723.11,1
SBA7a,2025-04,-4723.11,1
SBA7a,2025-05,-4723.11,1
SBA7a,2025-06,-4723.11,1
SBA7a,2025-07,-4723.11,1
SBA7a,2025-08,-4723.11,1
SBA7a,2025-09,-4723.11,1
SBA7a,2025-10,-4723.11,1
SBA7a,2025-11,-4689.05,1
SBA7a,2025-12,-4689.05,1
Shopify Capital,2025-09,138244.49,4
Shopify Capital,2025-10,-16073.65,34
Shopify Capital,2025-11,-15862.21,28
Shopify Capital,2025-12,-27987.27,34
