Distribution account,sum,count
Business Checking - 1203,-4070111.54,1515
Accounts Payable (A/P),-1251306.39,425
Inventory Asset,-1035942.99,25
Amex,-670359.0,29
Opening balance equity,-648580.23,5
Chase Visa (5176) (5184),-602141.43,51
Brex Card Account,-528776.69,324
BofA VIsa 8433,-227102.2,39
Maximus Outdoors,-184000.0,8
SBA7a,-114604.98999999999,24
Executive Pay,-110000.0,22
Maximus GrandeBass Loan,-100000.0,2
Business Banking- 7065,-76757.43,15
Chase CC (deleted),-73985.7,12
Shopify Capital,-61678.64,99
Visa 0270,-54225.340000000004,13
Business Savings- 7944,-24974.739999999998,3
Fedex,-21779.670000000002,12
Shopify Credit Card,-11294.82,4
ask my accountant,-10719.52,1
Yotpo,-8933.92,1
Supplies & materials,-4223.68,1
Post Pilot,-2994.0,3
Car,-2641.65,1
PayPal,-2022.32,18
Taxes paid,-1429.82,1
Stamps and USPS,-960.21,1
Shopify,-907.07,39
SBA,-731.0,1
Stripe,-665.63,3
Retail,-232.61,1
Bank fees & service charges,-199.0,2
Facebook,-119.43,6
Live Recover,-99.0,1
Office expenses,-80.85,1
Apparel,-66.11,3
Payroll taxes,-63.0,1
Legal & accounting services,-53.0,1
