Cohort_Month,New_Customers,Revenue,Orders,Repeat_Customers,Repeat_Rate_Pct,LTV
2024-01,4697,1602428.79,49094,4113,87.6,341.16
2024-02,598,148184.4,3787,389,65.1,247.8
2024-03,753,164285.45,4294,488,64.8,218.17
2024-04,643,145472.71,3648,404,62.8,226.24
2024-05,496,106057.18,2348,308,62.1,213.82
2024-06,764,139148.64,3222,412,53.9,182.13
2024-07,565,100349.19,2329,286,50.6,177.61
2024-08,564,84572.99,2027,269,47.7,149.95
2024-09,576,91777.69,2311,284,49.3,159.34
2024-10,332,55239.68,1347,172,51.8,166.38
2024-11,468,77957.67,1816,235,50.2,166.58
2024-12,774,101594.14,2596,330,42.6,131.26
2025-01,318,62478.44,1527,199,62.6,196.47
2025-02,542,83913.7,2257,341,62.9,154.82
2025-03,859,140654.31,3412,530,61.7,163.74
2025-04,626,104382.68,2413,379,60.5,166.75
2025-05,810,109708.21,2758,440,54.3,135.44
2025-06,728,110522.83,2413,401,55.1,151.82
2025-07,634,82658.05,1911,322,50.8,130.38
2025-08,427,56941.53,1256,238,55.7,133.35
2025-09,463,40516.74,1005,188,40.6,87.51
2025-10,409,36414.12,783,191,46.7,89.03
2025-11,1023,75239.85,1407,197,19.3,73.55
2025-12,1100,83932.82,1158,54,4.9,76.3
2026-01,7,347.46,7,0,0.0,49.64
