Month,Orders,Revenue,Refund_Count,Refund_Amount,Refund_Rate_Pct
2024-01,5183,158766.52,39,4363.0,0.8
2024-02,5096,171588.56,49,3918.58,1.0
2024-03,5357,209467.58,55,7465.4,1.0
2024-04,5269,188403.79,45,5248.9,0.9
2024-05,5029,181754.82,48,5095.69,1.0
2024-06,4928,196658.49,56,5030.36,1.1
2024-07,4665,170067.1,60,5374.39,1.3
2024-08,4379,142592.03,41,2706.15,0.9
2024-09,4092,158000.03,45,3917.09,1.1
2024-10,3689,131503.02,36,3344.15,1.0
2024-11,3623,142202.93,62,5226.02,1.7
2024-12,3968,172923.47,102,7487.95,2.6
2025-01,3346,121389.06,43,3470.72,1.3
2025-02,3422,119331.09,21,2625.02,0.6
2025-03,3938,165736.5,19,2521.54,0.5
2025-04,4128,154724.91,28,2962.14,0.7
2025-05,4743,171301.9,34,1782.17,0.7
2025-06,4256,185519.63,40,2724.62,0.9
2025-07,4026,144963.53,55,1537.01,1.4
2025-08,3726,133867.04,22,1423.09,0.6
2025-09,3441,122105.49,20,2426.37,0.6
2025-10,3358,117197.35,39,2191.59,1.2
2025-11,3797,162819.24,65,4261.56,1.7
2025-12,3660,181547.73,119,5092.35,3.3
2026-01,7,347.46,0,0,0.0
