sku,product_name,barcode,revenue,quantity,avg_unit_cost,total_cost,gross_margin,margin_pct,match_method,cost_vendor,cost_entries
kids-welcome,Create A Bait - Kid's Fishing Kit,,18856.71,920,225.0,207000.0,-188143.29,-997.8,fuzzy_name,Weihai Runten Industrial Limited,8
SILVER-NEW,SILVER,,16972.52,831,190.0,157890.0,-140917.48,-830.3,fuzzy_name,Weihai Runten Industrial Limited,1
kids-29,Kid's Create a Bait Fishing Kit - Fun Size,,13344.82,385,225.0,86625.0,-73280.18,-549.1,fuzzy_name,Weihai Runten Industrial Limited,8
kids-49,Kid's Create a Bait Fishing Kit - Super Fun Size,,6659.7,112,225.0,25200.0,-18540.3,-278.4,fuzzy_name,Weihai Runten Industrial Limited,8
BFS-2,LUNKERSTICK™ - BFS Series - Ultra-Finesse,810103812505,5518.8,24,4136.0,99264.0,-93745.2,-1698.7,UPC,Fishing Capital Co,1
BFS-1,LUNKERSTICK™ - BFS Series - Finesse,810103812499,5518.8,24,4165.0,99960.0,-94441.2,-1711.3,UPC,Fishing Capital Co,1
MBV-3600,"The Vault | 3600, 3700, Spinnerbait, Crankbait & Jig/Chatterbait boxes - 3600",810103812420,4051.5,265,2420.0,641300.0,-637248.5,-15728.7,UPC,Weihai Runten Industrial Limited,1
BBL-GB,Death Rattle Lipless Crankbait - Gold Black,675162132519,2376.0,264,612.0,161568.0,-159192.0,-6700.0,UPC,Weihai Runten Industrial Limited,1
BBL-CS,Death Rattle Lipless Crankbait - Chrome Shad,675162132496,2356.16,262,612.0,160344.0,-157987.84,-6705.3,UPC,Weihai Runten Industrial Limited,1
DD-BASS,Dirty Dancer - Baby Bass,,2098.49,211,190.0,40090.0,-37991.51,-1810.4,exact_name,Weihai Runten Industrial Limited,1
DD-SEXY,Dirty Dancer - Sexy Shad,,2018.89,203,190.0,38570.0,-36551.11,-1810.5,exact_name,Weihai Runten Industrial Limited,1
DD-SHINER,Dirty Dancer - Silver Shiner,,2009.9,202,190.0,38380.0,-36370.1,-1809.5,exact_name,Weihai Runten Industrial Limited,1
DD-GOLD,Dirty Dancer - Golden Child,,2009.9,202,190.0,38380.0,-36370.1,-1809.5,exact_name,Weihai Runten Industrial Limited,1
DDF-BONE,Dirty Dancer - Bone,,1999.95,201,190.0,38190.0,-36190.05,-1809.5,exact_name,Weihai Runten Industrial Limited,1
TUF50T502,Ultimate Frog - Tan/Brown,,1961.49,151,6367.44,961483.44,-959521.95,-48918.0,exact_name,O Mustad & Sons,1
MM-67,Mad Max v3.0 - Chrome,810103810761,1860.57,184,216.0,39744.0,-37883.43,-2036.1,UPC,Weihai Runten Industrial Limited,1
LHS30C,Lew's Laser HS 5.1:1 Spinning Reel,,1709.55,45,900.0,40500.0,-38790.45,-2269.0,exact_name,A.N.E Wholesale,2
XS610MSA,Lew's Xfinity Spinning Rod - 1 Spinning Rod,,1660.3,27,1500.0,40500.0,-38839.7,-2339.3,fuzzy_name,A.N.E Wholesale,2
MM-11,Mad Max v3.0 - Bone,810103810082,1620.66,187,216.0,40392.0,-38771.34,-2392.3,UPC,Weihai Runten Industrial Limited,1
BBL-SS,Death Rattle Lipless Crankbait - Spooky Shad,675162132472,1592.01,177,612.0,108324.0,-106731.99,-6704.2,UPC,Weihai Runten Industrial Limited,1
AH70MHS,Lew's American Hero 7' MH Spinning Rod,,1587.0,23,1160.0,26680.0,-25093.0,-1581.2,exact_name,A.N.E Wholesale,1
AH66MS,"Lew's American Hero 6'6"" M Spinning Rod",,1539.78,22,1020.0,22440.0,-20900.22,-1357.4,exact_name,A.N.E Wholesale,1
HF-VDF,Hendrix Fishing Voodoo Frog - Limited Edition Colors,,1434.45,131,4120.0,539720.0,-538285.55,-37525.6,fuzzy_name,Hendrix Fishing Company,1
FJS-CM,Flak Jacket Rod Covers: Spinning & Casting - Spinning / Camo,810103812888,1332.21,135,241.25,32568.75,-31236.54,-2344.7,UPC,"SUZHOU TOPDIVE SPORTS PRODUCTS CO.,LTD",1
FJS-LG,Flak Jacket Rod Covers: Spinning & Casting - Spinning / Grey,810103812864,1276.65,129,241.25,31121.25,-29844.6,-2337.7,UPC,"SUZHOU TOPDIVE SPORTS PRODUCTS CO.,LTD",1
FJS-BK,Flak Jacket Rod Covers: Spinning & Casting - Spinning / Black,810103812857,1223.68,124,241.25,29915.0,-28691.32,-2344.7,UPC,"SUZHOU TOPDIVE SPORTS PRODUCTS CO.,LTD",1
