sku,product_name,barcode,revenue,quantity
mb-subscription-south-1,Platinum: South: monthly,,169421.68,4423
mb-subscription-northeast-1,Platinum Series Northeast: monthly,,128439.67,3348
mb-subscription-greatlakes-1,Platinum Series Midwest: monthly,,97529.85,2548
mb-subscription-south-3,Platinum: South: 3 month,,96777.0,2849
mb-subscription-greatlakes-3,Platinum Series Midwest: 3 month,,85192.0,2451
mb-subscription-northeast-3,Platinum Series Northeast: 3 month,,83238.95,2399
PLATINUM-NEW-3,Platinum Series: 3 month,,78006.29,698
PLATINUM-NEW,Platinum Series: monthly,,77953.59,1979
PLATINUM-NEW-12,Platinum Series: 12 month,,70525.95,159
PLATINUM-NEW-6,Platinum Series: 6 month,,49303.95,220
mb-subscription-south-12,Platinum Series South: 12 month,,48706.0,1657
GOLD-NEW,Gold Series: 6 month,,48222.1,828
mb-subscription-northeast-6,Platinum Series Northeast: 6 month,,46793.0,1409
mb-subscription-psw-1,Platinum Series West: monthly,,46004.16,1199
platinum-0625,Platinum - Bass Monthly: June 2025,,45884.07,1303
TikTok-29,MONSTERBASS Mystery Box - The Big Box,,42150.15,958
mb-subscription-pnwmp-1,Platinum Series NW/Mtn: monthly,,42149.51,1101
mb-subscription-south-6,Platinum Series: 6 month,,41280.0,1357
mb-subscription-greatlakes-12,Platinum Series Midwest: 12 month,,40578.0,1311
platinum-0525,Platinum - Bass Monthly: May 2025,,38573.38,1597
mb-subscription-greatlakes-6,Platinum Series Midwest: 6 month,,37151.94,1143
mb-subscription-northeast-12,Platinum Series Northeast: 12 month,,35538.0,1274
platinum-0425,Platinum - Bass 3 Month: April 2025,,35001.72,1148
mb-subscription-pnwmp-3,Platinum Series NW/Mtn: 3 month,,34775.0,982
platinum-0825,Platinum - Bass Monthly: August 2025,,34704.8,1307
platinum-0725,Platinum - Bass 3 Month: July 2025,,34439.97,1329
platinum-1025,Platinum - Bass Monthly: October 2025,,31869.22,699
platinum-1225,Platinum - Bass Monthly: December 2025,,31443.22,919
mb-subscription-psw-3,Platinum Series West: 3 month,,30678.5,857
platinum-1125,Platinum - Bass 3 Month: November 2025,,30604.22,686
platinum-0325,Platinum - Bass Monthly: March 2025,,30322.72,911
platinum-0925,Platinum - Bass Monthly: September 2025,,30144.7,738
platinum-1124,Platinum - Bass 12 Month: November 2024,,29745.88,1292
mb-subscription-florida-1,Platinum: South: monthly,,28673.22,766
mb-subscription-national-1,National Box,,27569.98,980
platinum-1224,Platinum - Bass Monthly: December 2024,,26700.0,743
MBV-3700,"The Vault | 3600, 3700, Spinnerbait, Crankbait & Jig/Chatterbait boxes - 3700",,26604.45,1529
silver-3,Silver Series: 3 month,,24780.0,1602
platinum-0225,Platinum - Bass Monthly: February 2025,,24550.0,881
mb-subscription-2-month,Platinum Series: 2 month plan,,24523.96,636
platinum-0125,Platinum - Big Bass Box,,23979.0,820
silver-1,Silver Series: monthly,,23580.0,1179
FGOTX71M,"Fate Green/Origin TX 7'1"" M Casting Combo - 7.1:1 Gear Ratio RH",,23518.53,147
silver-6,Silver Series: 6 month,,23160.0,1582
mb-subscription-ms-3,Multi-Species: 3 month,,22734.0,636
mb-subscription-ms-1,Multi-Species: monthly,,22310.0,586
GIFT-SPINNING-REEL,FREE GIFT: Spinning Fishing Reel,,20850.0,697
mb-subscription-national-3,Gold Series: 3 month,,20835.0,777
mb-subscription-pnwmp-12,Platinum: PNW & Mountain: 12 month,,18698.0,643
GOLD-0724,Gold Monthly: July 2024 - 1 Month,,18257.43,781
silver-12,Silver Series: 12 month,,18240.0,1350
MULTI-NEW-3,Platinum Series Bass & Panfish: 3 month,,18051.95,160
PROSTAFF,Platinum: ProStaff monthly,,17784.0,468
MBC-574MFC,"LUNKERSTICK - Casting: 7'4"" Medium Heavy - Moderate Fast",810103811041,17592.55,130
MSR-474F,"LUNKERSTICK - Spinning: 7'4"" Medium - Fast",810103811010,17540.65,130
mb-subscription-psw-6,Platinum: West: 6 month,,17346.0,514
MSR-370F,LUNKERSTICK - Spinning: 7' Medium Light - Fast,810103811034,16812.85,124
MBC-574F,"LUNKERSTICK - Casting: 7'4"" Medium Heavy - Fast",810103810747,16701.9,124
GIFT-SPINNING-ROD-REEL,FREE GIFT: Fishing Rod + Reel Spinning Combo,,16029.42,112
GOLD-0624,Gold 3 Month: June 2024,,15610.92,618
mb-subscription-ms-12,Multi-Species: 12 month,,15496.0,361
Welcome-30,FREE GIFT: $30 Store Credit,,15210.0,507
HB760TT,"David Dudley Signature Series Rods - Casting: 7'6"" Heavy",854089007920,14940.0,166
mb-subscription-ms-6,Multi-Species: 6 month,,14622.0,404
MULTI-NEW-12,Platinum Series Bass & Panfish: 12 month,,14095.0,36
mb-subscription-national-6,Gold Series: 6 month,,14022.0,520
MBC-674F,"LUNKERSTICK - Casting: 7'4"" Heavy - Fast",810103811027,13653.05,101
MBC-470F,LUNKERSTICK - Casting: 7' Medium - Fast,810103810730,13544.05,100
mb-subscription-pnwmp-6,Platinum Series  NW/Mtn: 6 month,,13236.0,433
GOLD-0524,Gold 3 Month: May 2024,,12741.99,727
MULTI-NEW,Platinum Series Bass & Panfish: monthly,,12150.15,311
